date,text,leg,skip,side,entry,sl,tp1,rungs,pnl_tp1,pnl_ladder,outcome_tp1,outcome_ladder,bias,verdict,score,rr_tp1,rr_ladder,mfe,mae
2026-06-08T02:38:30+00:00,"XAUUSD BUY 4316
MORE BUY  4310

TP¹ 4320
TP² 4324
TP³ 4328
TP⁴ 4332
TP",4316.0,,BUY,4316.0,4301.0,4320.0,6,4.0,2.0,tp1,be,,,,0.27,1.0,47.29,-128.6
2026-06-08T02:38:30+00:00,"XAUUSD BUY 4316
MORE BUY  4310

TP¹ 4320
TP² 4324
TP³ 4328
TP⁴ 4332
TP",4310.0,,BUY,4310.0,4301.0,4320.0,6,-9.0,-9.0,sl,sl_full,,,,0.27,1.0,53.29,-122.6
2026-06-08T05:53:02+00:00,"XAUUSD BUY 4286
MORE BUY  4282

TP¹ 4292
TP² 4296
TP³ 4300
TP⁴ 4304
TP",4286.0,,BUY,4286.0,4270.0,4292.0,6,-16.0,-16.0,sl,sl_full,,,,0.38,1.03,77.29,-113.63
2026-06-08T05:53:02+00:00,"XAUUSD BUY 4286
MORE BUY  4282

TP¹ 4292
TP² 4296
TP³ 4300
TP⁴ 4304
TP",4282.0,,BUY,4282.0,4270.0,4292.0,6,-12.0,-12.0,sl,sl_full,,,,0.38,1.03,81.29,-109.63
2026-06-08T13:45:23+00:00,"XAUUSD SELL 4342
MORE SELL  4348

TP¹ 4340
TP² 4337
TP³ 4334
TP⁴ 4331
",4342.0,,SELL,4342.0,4355.0,4340.0,6,2.0,1.0,tp1,be,,,,0.15,0.77,211.6,-21.29
2026-06-08T13:45:23+00:00,"XAUUSD SELL 4342
MORE SELL  4348

TP¹ 4340
TP² 4337
TP³ 4334
TP⁴ 4331
",4348.0,,SELL,4348.0,4355.0,4340.0,6,8.0,17.0,tp1,final,,,,0.15,0.77,217.6,-15.29
2026-06-08T14:37:44+00:00,"XAUUSD BUY 4310
MORE BUY  4305

TP¹ 4315
TP² 4320
TP³ 4325
TP⁴ 4330


",4310.0,,BUY,4310.0,4300.0,4315.0,4,5.0,2.5,tp1,be,,,,0.5,1.25,13.71,-179.6
2026-06-08T14:37:44+00:00,"XAUUSD BUY 4310
MORE BUY  4305

TP¹ 4315
TP² 4320
TP³ 4325
TP⁴ 4330


",4305.0,,BUY,4305.0,4300.0,4315.0,4,10.0,5.0,tp1,be,,,,0.5,1.25,10.18,-174.6
2026-06-09T12:51:15+00:00,"XAUUSD SELL 4343
MORE SELL  4348

TP¹ 4340
TP² 4337
TP³ 4334
TP⁴ 4331
",4343.0,,SELL,4343.0,4355.0,4340.0,6,3.0,1.5,tp1,be,,,,0.25,1.18,319.26,-20.29
2026-06-09T12:51:15+00:00,"XAUUSD SELL 4343
MORE SELL  4348

TP¹ 4340
TP² 4337
TP³ 4334
TP⁴ 4331
",4348.0,,SELL,4348.0,4355.0,4340.0,6,-7.0,-7.0,sl,sl_full,,,,0.25,1.18,324.26,-15.29
2026-06-09T14:17:42+00:00,"XAUUSD BUY 4320
MORE BUY  4315

TP¹ 4325
TP² 4330
TP³ 4335
TP⁴ 4340


",4320.0,,BUY,4320.0,4306.0,4325.0,4,5.0,2.5,tp1,be,,,,0.36,0.89,8.88,-296.26
2026-06-09T14:17:42+00:00,"XAUUSD BUY 4320
MORE BUY  4315

TP¹ 4325
TP² 4330
TP³ 4335
TP⁴ 4340


",4315.0,,BUY,4315.0,4306.0,4325.0,4,-9.0,-9.0,sl,sl_full,,,,0.36,0.89,8.71,-291.26
2026-06-09T14:22:21+00:00,"XAUUSD BUY 4310
MORE BUY  4305

TP¹ 4315
TP² 4320
TP³ 4325
TP⁴ 4340


",4310.0,,BUY,4310.0,4300.0,4315.0,4,5.0,2.5,tp1,be,,,,0.5,1.5,13.71,-286.26
2026-06-09T14:22:21+00:00,"XAUUSD BUY 4310
MORE BUY  4305

TP¹ 4315
TP² 4320
TP³ 4325
TP⁴ 4340


",4305.0,,BUY,4305.0,4300.0,4315.0,4,10.0,5.0,tp1,be,,,,0.5,1.5,10.18,-281.26
2026-06-09T16:27:17+00:00,"XAUUSD BUY 4260
MORE BUY  4255

TP¹ 4265
TP² 4270
TP³ 4275
TP⁴ 4280
TP",4260.0,,BUY,4260.0,4245.0,4265.0,6,5.0,2.5,tp1,be,,,,0.33,1.5,14.26,-236.26
2026-06-09T16:27:17+00:00,"XAUUSD BUY 4260
MORE BUY  4255

TP¹ 4265
TP² 4270
TP³ 4275
TP⁴ 4280
TP",4255.0,,BUY,4255.0,4245.0,4265.0,6,10.0,5.0,tp1,be,,,,0.33,1.5,19.26,-231.26
2026-06-09T16:54:06+00:00,"XAUUSD BUY 4245
MORE BUY  4240

TP¹ 4250
TP² 4255
TP³ 4265
TP⁴ 4275
TP",4245.0,,BUY,4245.0,4225.0,4250.0,6,5.0,2.5,tp1,be,,,,0.25,1.79,29.26,-221.26
2026-06-09T16:54:06+00:00,"XAUUSD BUY 4245
MORE BUY  4240

TP¹ 4250
TP² 4255
TP³ 4265
TP⁴ 4275
TP",4240.0,,BUY,4240.0,4225.0,4250.0,6,10.0,5.0,tp1,be,,,,0.25,1.79,34.26,-216.26
2026-06-10T03:32:43+00:00,"XAUUSD BUY 4184
MORE BUY  4175

TP¹ 4190
TP² 4200
TP³ 4210
TP⁴ 4220
TP",4184.0,,BUY,4184.0,4155.0,4190.0,9,6.0,3.0,tp1,be,,,,0.21,1.44,62.35,-160.26
