date,text,leg,skip,side,entry,sl,tp1,rungs,pnl_tp1,pnl_ladder,outcome_tp1,outcome_ladder,bias,verdict,score,rr_tp1,rr_ladder,mfe,mae
2026-06-16T09:07:03+00:00,"🔴Sell  4352/4353

🔴Stop 4358

Tp1:4346
Tp2:4340
Tp3:4334
Tp4:4328
TP5:",4352.0,,SELL,4352.0,4358.0,4346.0,5,6.0,18.0,tp1,final,,,,1.0,3.0,133.03,-30.34
2026-06-16T09:07:53+00:00,"🔴Sell  4356/4357

🔴Stop 4362

Tp1:4350
Tp2:4344
Tp3:4338
Tp4:4328
TP5:",4356.0,,SELL,4356.0,4362.0,4350.0,5,-6.0,-6.0,sl,sl_full,,,,1.0,3.4,137.03,-26.34
2026-06-24T11:13:09+00:00,"🔵Buy  4038/4039

🔴Stop 4032

Tp1:4044
Tp2:4050
Tp3:4056
Tp4:4060
Tp5:4",4038.0,,BUY,4038.0,4032.0,4044.0,5,6.0,3.0,tp1,be,,,,1.0,3.0,18.27,-79.04
2026-06-24T11:13:53+00:00,"🔵Buy  4021/4022

🔴Stop 4015

Tp1:4026
Tp2:4032
Tp3:4038
Tp4:4048
Tp5:4",4021.0,,BUY,4021.0,4015.0,4026.0,5,-6.0,-6.0,sl,sl_full,,,,0.83,3.23,33.19,-62.04
2026-06-30T06:03:49+00:00,"🔴Sell  4001/4002

🔴Stop 4007

Tp1:3995
Tp2:3989
Tp3:3983
Tp4:3977
TP5:",4001.0,,SELL,4001.0,4007.0,3995.0,5,6.0,3.0,tp1,be,,,,1.0,3.17,40.82,-114.73
2026-06-30T06:04:02+00:00,"🔴Sell  4009/4010

🔴Stop 4016

Tp1:4003
Tp2:3997
Tp3:3991
Tp4:3981
TP5:",4009.0,,SELL,4009.0,4016.0,4003.0,5,6.0,3.0,tp1,be,,,,0.86,2.91,48.82,-106.73
2026-06-30T06:04:11+00:00,"🔴Sell  4014/4015

🔴Stop 4020

Tp1:4009
Tp2:4003
Tp3:3997
Tp4:3990
TP5:",4014.0,,SELL,4014.0,4020.0,4009.0,5,-6.0,-6.0,sl,sl_full,,,,0.83,3.03,53.82,-101.73
2026-06-30T12:27:33+00:00,"رفقا ۴۰۰۱/۴۰۰۲ خریدار باشید
استاپ ۳۹۹۵
تارگت اول ۴۰۰۸
تارگت دوم ۴۰۱۸
ت",4001.0,,BUY,4001.0,3995.0,0,0,-6.0,0.0,sl,no_tp,,,,0.0,0.0,114.73,-40.82
2026-07-02T05:02:05+00:00,"🔵Buy  4044/4045

🔴Stop 4039

Tp1:4051
Tp2:4057
Tp3:4063
Tp4:4073
Tp5:4",4044.0,,BUY,4044.0,4039.0,4051.0,5,7.0,23.0,tp1,final,,,,1.4,4.28,159.12,-2.65
2026-07-06T08:01:46+00:00,"Sell now 4165
Sl 4168
Tp1 4162
Tp2 4158
Tp3 4152",4165.0,,SELL,4165.0,4168.0,4162.0,3,3.0,1.5,tp1,be,,,,1.0,2.56,72.59,-15.66
2026-07-06T11:57:46+00:00,"4152/4153 buy بزنید

Sl 4149",4152.0,,BUY,4152.0,4149.0,0,0,-3.0,0.0,sl,no_tp,,,,0.0,0.0,28.66,-111.52
2026-07-07T13:46:49+00:00,"Buy 4173/4174

Sl 4169

Tp1 4178

Tp2 4182

Tp3 4188",4173.0,,BUY,4173.0,4169.0,4178.0,3,-4.0,-4.0,sl,sl_full,,,,1.25,2.42,7.66,-151.2
2026-07-10T08:32:52+00:00,"Buy 4096/4097

Sl 4090

Tp1 4102

Tp2 4108

Tp3 4115",4096.0,,BUY,4096.0,4090.0,4102.0,3,6.0,12.5,tp1,final,,,,1.0,2.06,25.72,-112.42
2026-07-14T05:42:59+00:00,"🔴Sell  4035/4037

🔴Stop 4041

Tp1:4030
Tp2:4025
Tp3:4020
Tp4:4010
TP5:",4035.0,,SELL,4035.0,4041.0,4030.0,5,5.0,2.5,tp1,be,,,,0.83,3.0,17.64,-68.11
2026-07-14T05:44:36+00:00,"🔴Sell  4043/4044

🔴Stop 4049

Tp1:4038
Tp2:4032
Tp3:4026
Tp4:4020
TP5:",4043.0,,SELL,4043.0,4049.0,4038.0,5,-6.0,-6.0,sl,sl_full,,,,0.83,2.97,25.64,-60.11
2026-07-14T05:47:14+00:00,"🔴Sell  4055/5047

🔴Stop 4061

Tp1:4050
Tp2:4044
Tp3:4038
Tp4:4032
TP5:",4055.0,,SELL,4055.0,4061.0,4050.0,5,-6.0,-6.0,sl,sl_full,,,,0.83,2.97,37.64,-48.11
2026-07-14T06:27:52+00:00,"4020/4023 
Sl 4016

Tp1 4028

Tp2 4034

Tp3 4044

Buy بزنید کم حجم",4020.0,,BUY,4020.0,4016.0,4028.0,3,-4.0,-4.0,sl,sl_full,,,,2.0,3.83,83.11,-6.2
2026-07-14T08:26:02+00:00,"🔵Buy  4007/4008

🔴Stop 4001

Tp1:4012
Tp2:4018
Tp3:4024
Tp4:4034
Tp5:4",4007.0,,BUY,4007.0,4001.0,4012.0,5,0.0,0.0,no_fill,no_fill,,,,0.83,3.23,0.0,0.0
2026-07-15T05:35:11+00:00,"4030/4032 sell scalp

Sl 4036",4030.0,,SELL,4030.0,4036.0,0,0,-6.0,0.0,sl,no_tp,,,,0.0,0.0,60.7,-51.48
2026-07-22T05:49:58+00:00,"🔴Sell  4165/4166

🔴Stop 4171

Tp1:4160
Tp2:4155
Tp3:4150
Tp4:4140
TP5:",4165.0,,SELL,4165.0,4171.0,4160.0,5,5.0,2.5,tp1,be,,,,0.83,3.0,142.05,-1.44
2026-07-22T05:56:02+00:00,"🔵Buy  4112/4113

🔴Stop 4105

Tp1:4117
Tp2:4123
Tp3:4128
Tp4:4138
Tp5:4",4112.0,,BUY,4112.0,4105.0,4117.0,5,5.0,2.5,tp1,be,,,,0.71,2.69,54.44,-89.05
