date,text,leg,skip,side,entry,sl,tp1,rungs,pnl_tp1,pnl_ladder,outcome_tp1,outcome_ladder,bias,verdict,score,rr_tp1,rr_ladder,mfe,mae
2026-06-11T06:09:54+00:00,"🥇  #XAUUSD | Buy   4075.00

📊 Target 1 : 4080.00 | Target 2 : 4090.00 ",4075.0,,BUY,4075.0,4070.0,4080.0,3,-5.0,-5.0,sl,sl_full,,,,1.0,3.0,260.47,-21.93
2026-06-12T06:07:21+00:00,"🥇  #XAUUSD | Sell   4190.00

📊 Target 1 : 4185.00 | Target 2 : 4180.00",4190.0,,SELL,4190.0,4195.0,4185.0,3,5.0,11.5,tp1,final,,,,1.0,2.2,19.9,-179.29
2026-06-12T06:31:04+00:00,"🪙 # BTCUSD SELL  63200


📈 Target 1 : 62800  | Target 2 : 62400 | Targ",0,unparsed,SELL,63600.0,0.0,62800.0,3,0.0,0.0,,,,,,0.0,0.0,0.0,0.0
2026-06-15T08:49:22+00:00,"🥇  #XAUUSD | Sell   4330.00

📊 Target 1 : 4325.00 | Target 2 : 4320.00",4330.0,,SELL,4330.0,4335.0,4325.0,3,-5.0,-5.0,sl,sl_full,,,,1.0,2.2,24.13,-39.29
2026-06-15T09:20:43+00:00,"🥇  #XAUUSD | Buy   4313.00

📊 Target 1 : 4318.00 | Target 2 : 4323.00 ",4313.0,,BUY,4313.0,4308.0,4318.0,3,-5.0,-5.0,sl,sl_full,,,,1.0,2.33,56.29,-7.13
2026-06-16T09:23:55+00:00,"🥇  #XAUUSD | BUY 4328.00

🔶 Target 1 : 4332.00 | Target 2 : 4336.00   ",4328.0,,BUY,4328.0,4324.0,4332.0,3,4.0,2.0,tp1,be,,,,1.0,2.0,54.34,-109.03
2026-06-24T07:33:09+00:00,"🥇  #XAUUSD | BUY 4075.00

🔶 Target 1 : 4080.00 | Target 2 : 4085.00   ",4075.0,,BUY,4075.0,4070.0,4080.0,3,5.0,2.5,tp1,be,,,,1.0,2.33,22.59,-116.04
2026-06-26T07:53:52+00:00,"🥇  #XAUUSD | BUY 4022.00

🔶 Target 1 : 4027.00 | Target 2 : 4032.00   ",4022.0,,BUY,4022.0,4017.0,4027.0,3,-5.0,-5.0,sl,sl_full,,,,1.0,2.2,74.19,-79.63
2026-06-29T06:32:58+00:00,"🥇  #XAUUSD | Sell   4062.00

📊 Target 1 : 4057.00 | Target 2 : 4052.00",4062.0,,SELL,4062.0,4067.0,4057.0,3,5.0,12.5,tp1,final,,,,1.0,2.33,119.63,-6.54
2026-06-30T13:04:35+00:00,"🥇  #XAUUSD | Sell   4030.00

📊 Target 1 : 4025.00 | Target 2 : 4020.00",4030.0,,SELL,4030.0,4035.0,4025.0,3,-5.0,-5.0,sl,sl_full,,,,1.0,2.0,69.82,-85.73
2026-07-01T05:38:51+00:00,"🥇  #XAUUSD | BUY 3970.00

🔶 Target 1 : 3975.00 | Target 2 : 3980.00   ",3970.0,,BUY,3970.0,3965.0,3975.0,3,5.0,2.5,tp1,be,,,,1.0,2.33,225.49,-9.82
2026-07-02T06:49:12+00:00,"🥇  #XAUUSD | BUY 4054.00

🔶 Target 1 : 4059.00 | Target 2 : 4064.00   ",4054.0,,BUY,4054.0,4049.0,4059.0,3,5.0,2.5,tp1,be,,,,1.0,2.4,149.12,-0.72
2026-07-02T17:17:47+00:00,"🥇  #XAUUSD | Sell   4120.00

📊 Target 1 : 4115.00 | Target 2 : 4110.00",4120.0,,SELL,4120.0,4125.0,4115.0,3,5.0,2.5,tp1,be,,,,1.0,2.0,19.66,-83.12
2026-07-02T19:16:00+00:00,"Been buying, been selling, been profiting today again, all trades win!",0,unparsed,SELL,4148.0,0.0,0.0,0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0
2026-07-03T04:35:57+00:00,"🥇  #XAUUSD | Sell   4182.00

📊 Target 1 : 4177.00 | Target 2 : 4172.00",4182.0,,SELL,4182.0,4190.0,4177.0,3,5.0,2.5,tp1,be,,,,0.62,1.46,65.38,-21.12
2026-07-06T06:01:23+00:00,"🥇  #XAUUSD | Sell   4156.00

📊 Target 1 : 4151.00 | Target 2 : 4146.00",4156.0,,SELL,4156.0,4160.0,4151.0,3,-4.0,-4.0,sl,sl_full,,,,1.25,2.58,63.59,-24.66
2026-07-06T14:52:26+00:00,"🥇  #XAUUSD | Sell   4150.00

📊 Target 1 : 4145.00 | Target 2 : 4140.00",4150.0,,SELL,4150.0,4155.0,4145.0,3,-5.0,-5.0,sl,sl_full,,,,1.0,2.33,109.52,-30.66
2026-07-08T07:31:37+00:00,"🥇  #XAUUSD | BUY 4120.00

🔶 Target 1 : 4125.00 | Target 2 : 4130.00   ",4120.0,,BUY,4120.0,4115.0,4125.0,3,-5.0,-5.0,sl,sl_full,,,,1.0,2.33,18.2,-98.2
2026-07-09T11:40:06+00:00,"🥇  #XAUUSD | Sell   4110.00

📊 Target 1 : 4105.00 | Target 2 : 4100.00",4110.0,,SELL,4110.0,4115.0,4105.0,3,5.0,2.5,tp1,be,,,,1.0,2.33,66.19,-28.2
2026-07-10T06:19:10+00:00,"🥇  #XAUUSD | Sell   4120.00

📊 Target 1 : 4115.00 | Target 2 : 4110.00",4120.0,,SELL,4120.0,4125.0,4115.0,3,5.0,2.5,tp1,be,,,,1.0,2.33,136.42,-1.88
2026-07-13T11:28:59+00:00,"🥇  #XAUUSD | BUY 4048.00

🔶 Target 1 : 4053.00 | Target 2 : 4058.00   ",4048.0,,BUY,4048.0,4043.0,4053.0,3,5.0,2.5,tp1,be,,,,1.0,2.13,55.11,-64.42
2026-07-14T12:12:44+00:00,"🥇  #XAUUSD | BUY 4015.00

🔶 Target 1 : 4020.00 | Target 2 : 4025.00   ",4015.0,,BUY,4015.0,4010.0,4020.0,3,5.0,12.5,tp1,final,,,,1.0,2.33,88.11,-1.2
2026-07-14T13:50:42+00:00,"🥇  #XAUUSD | Sell   4097.00

📊 Target 1 : 4092.00 | Target 2 : 4085.00",4097.0,,SELL,4097.0,4103.0,4092.0,3,-6.0,-6.0,sl,sl_full,,,,0.83,2.44,102.5,-6.11
2026-07-15T13:35:21+00:00,"🥇  #XAUUSD | BUY 4050.00

📈 Target 1 : 4055.00  | Target 2 : 4060.00 |",4050.0,,BUY,4050.0,4045.0,4055.0,3,-5.0,-5.0,sl,sl_full,,,,1.0,2.2,31.48,-80.7
2026-07-16T06:05:20+00:00,"🥇  #XAUUSD | BUY 4030.00

📈 Target 1 : 4035.00  | Target 2 : 4040.00 |",4030.0,,BUY,4030.0,4025.0,4035.0,3,5.0,2.5,tp1,be,,,,1.0,2.33,13.36,-70.33
2026-07-16T14:29:21+00:00,"🥇  #XAUUSD | Sell   4015.00

📊 Target 1 : 4010.00 | Target 2 : 4005.00",4015.0,,SELL,4015.0,4020.0,4010.0,3,-5.0,-5.0,sl,sl_full,,,,1.0,2.13,55.33,-25.79
2026-07-17T09:25:18+00:00,"📈GOLD BUY NOW📈

🎁 GOLD BUY ZONE 3995-3990🎁


👑TP1 : 4000📊
👑TP2 : 4005📊",0,sl_wrong_side,BUY,3995.0,3990.0,4000.0,4,0.0,0.0,,,,,,0.0,0.0,0.0,0.0
2026-07-17T16:05:27+00:00,"🥇  #XAUUSD | BUY 3988.00

📈 Target 1 : 3993.00  | Target 2 : 3998.00 |",0,sl_wrong_side,BUY,3988.0,4083.0,3993.0,3,0.0,0.0,,,,,,0.0,0.0,0.0,0.0
2026-07-20T07:58:52+00:00,"🥇  #XAUUSD | BUY 4002.00

📈 Target 1 : 4007.00  | Target 2 : 4011.00 |",4002.0,,BUY,4002.0,3998.0,4007.0,3,5.0,2.5,tp1,be,,,,1.25,2.33,139.7,-3.79
2026-07-20T08:06:52+00:00,"Gold sell now 4023.6 - 4027

SL: 4031

TP: 4021
TP: 4019
TP: 4017
TP: ",4023.6,,SELL,4023.6,4031.0,4021.0,3,2.6,1.3,tp1,be,,,,0.35,0.62,25.39,-118.1
2026-07-20T09:39:26+00:00,"Gold sell now 4020 - 4024

SL: 4028

TP: 4018
TP: 4016
TP: 4014
TP: 40",4020.0,,SELL,4020.0,4028.0,4018.0,4,2.0,1.0,tp1,be,,,,0.25,0.62,21.79,-121.7
2026-07-21T05:54:23+00:00,"🥇  #XAUUSD | Sell   4065.00

📊 Target 1 : 4060.00 | Target 2 : 4055.00",4065.0,,SELL,4065.0,4070.0,4060.0,3,-5.0,-5.0,sl,sl_full,,,,1.0,2.0,20.76,-101.44
2026-07-21T12:18:24+00:00,"🥇  #XAUUSD | BUY 4056.00

📈 Target 1 : 4061.00  | Target 2 : 4066.00 |",4056.0,,BUY,4056.0,4050.0,4061.0,3,5.0,2.5,tp1,be,,,,0.83,1.89,110.44,-11.76
2026-07-22T03:28:40+00:00,"🥇  #XAUUSD | BUY 4116.00

📈 Target 1 : 4121.00  | Target 2 : 4126.00 |",4116.0,,BUY,4116.0,4110.0,4121.0,3,5.0,2.5,tp1,be,,,,0.83,1.95,50.44,-75.87
2026-07-23T12:04:10+00:00,"🥇  #XAUUSD | Sell   4096.00

📊 Target 1 : 4092.00 | Target 2 : 4086.00",4096.0,,SELL,4096.0,4100.0,4092.0,3,4.0,10.0,tp1,final,,,,1.0,2.5,73.96,-20.22
2026-07-23T19:13:09+00:00,"Been buying, been selling, been profiting all day again, all trades wi",0,unparsed,SELL,4031.0,0.0,0.0,0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0
2026-07-24T08:46:29+00:00,"🥇  #XAUUSD | BUY 4050.00

📈 Target 1 : 4055.00  | Target 2 : 4060.00 |",4050.0,,BUY,4050.0,4045.0,4055.0,3,5.0,2.5,tp1,be,,,,1.0,2.07,66.22,-15.26
2026-07-27T03:53:57+00:00,"🥇  #XAUUSD | BUY 4090.00

📈 Target 1 : 4095.00  | Target 2 : 4100.00 |",4090.0,,BUY,4090.0,4085.0,4095.0,3,-5.0,-5.0,sl,sl_full,,,,1.0,2.33,16.11,-79.88
2026-07-27T14:01:53+00:00,"$18,000+ Closed today , one winning Trade💲

Been buying, been selling,",0,unparsed,SELL,4118.0,0.0,0.0,0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0
2026-07-28T05:37:01+00:00,"🥇  #XAUUSD | BUY 4035.00

📈 Target 1 : 4040.00  | Target 2 : 4045.00 |",4035.0,,BUY,4035.0,4030.0,4040.0,3,5.0,12.5,tp1,final,,,,1.0,2.33,81.53,-39.08
2026-07-28T19:29:02+00:00,"Called it a blue day this morning!

$14,000+ Closed today , one winnin",0,unparsed,SELL,4014.0,0.0,0.0,0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0
2026-07-29T06:41:49+00:00,"🥇  #XAUUSD | BUY 4022.00

📈 Target 1 : 4027.00  | Target 2 : 4032.00 |",4022.0,,BUY,4022.0,4017.0,4027.0,3,5.0,11.5,tp1,final,,,,1.0,2.2,98.28,-26.08
2026-07-29T18:49:57+00:00,"🥇  #XAUUSD | BUY 4015.00

📈 Target 1 : 4020.00  | Target 2 : 4025.00 |",4015.0,,BUY,4015.0,4010.0,4020.0,3,-5.0,-5.0,sl,sl_full,,,,1.0,2.13,105.28,-7.32
2026-07-30T18:28:50+00:00,"$43,389+ Closed today , one winning Trade💲

Been buying, been selling,",0,unparsed,SELL,4043.0,0.0,0.0,0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0
2026-07-31T09:44:04+00:00,"🥇  #XAUUSD | BUY 4050.00

📈 Target 1 : 4055.00  | Target 2 : 4060.00 |",4050.0,,BUY,4050.0,4045.0,4055.0,3,5.0,2.5,tp1,be,,,,1.0,2.33,33.11,-30.9
2026-08-04T08:27:06+00:00,"🥇  #XAUUSD | BUY 4050.00

📈 Target 1 : 4055.00  | Target 2 : 4060.00 |",4050.0,,BUY,4050.0,4045.0,4055.0,3,5.0,12.5,tp1,final,,,,1.0,2.33,254.36,-4.66
2026-08-04T16:29:01+00:00,"$72,900 total UP today💥💥🧻

Been buying, been selling, been profiting a",0,unparsed,SELL,4072.0,0.0,0.0,0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0
2026-08-05T04:47:04+00:00,"🥇  #XAUUSD | Sell   4135.00

📊 Target 1 : 4130.00 | Target 2 : 4125.00",4135.0,,SELL,4135.0,4140.0,4130.0,3,5.0,2.5,tp1,be,,,,1.0,2.33,8.2,-169.36
2026-08-05T09:04:11+00:00,"🥇  #XAUUSD | Sell   4178.00

📊 Target 1 : 4173.00 | Target 2 : 4168.00",4178.0,,SELL,4178.0,4183.0,4173.0,3,5.0,2.5,tp1,be,,,,1.0,2.2,27.89,-126.36
2026-08-05T12:23:38+00:00,"🥇  #XAUUSD | Sell   4210.00

📊 Target 1 : 4205.00 | Target 2 : 4200.00",4210.0,,SELL,4210.0,4220.0,4205.0,3,5.0,12.5,tp1,final,,,,0.5,1.17,27.2,-116.24
2026-08-05T17:34:37+00:00,"$13,400 total UP today💥💥🧻

Been buying, been selling, been profiting a",0,unparsed,SELL,4213.0,0.0,0.0,0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0
2026-08-06T05:35:32+00:00,"🥇  #XAUUSD | Sell   4276.00

📊 Target 1 : 4271.00 | Target 2 : 4266.00",4276.0,,SELL,4276.0,4281.0,4271.0,3,-5.0,-5.0,sl,sl_full,,,,1.0,9.07,52.85,-95.87
