date,text,leg,skip,side,entry,sl,tp1,rungs,pnl_tp1,pnl_ladder,outcome_tp1,outcome_ladder,bias,verdict,score,rr_tp1,rr_ladder,mfe,mae
2026-06-08T08:24:38+00:00,"Gold sell now 4292 - 4295

SL: 4299

TP: 4290
TP: 4288
TP: 4286
TP: op",4292.0,,SELL,4292.0,4299.0,4290.0,3,-7.0,-7.0,sl,sl_full,,,,0.29,0.57,119.63,-71.29
2026-06-09T06:37:56+00:00,"Gold buy now 4332.3 - 4319

SL: 4316

TP: 4335
TP: 4337
TP: 4339
TP: o",4332.3,,BUY,4332.3,4316.0,4335.0,3,2.7,1.35,tp1,be,,,,0.17,0.29,30.99,-308.56
2026-06-11T07:53:39+00:00,"Gold buy now 4107.8 - 4103

SL: 4098

TP: 4110
TP: 4112
TP: 4114
TP: 4",4107.8,,BUY,4107.8,4098.0,4110.0,4,2.2,1.1,tp1,be,,,,0.22,0.53,227.67,-54.73
2026-06-12T11:13:10+00:00,"Gold buy now 4216 - 4213

SL: 4209

TP: 4218
TP: 4220
TP: 4222
TP: 422",4216.0,,BUY,4216.0,4209.0,4218.0,4,-7.0,-7.0,sl,sl_full,,,,0.29,0.71,153.29,-38.83
2026-06-12T11:13:11+00:00,"Gold buy now re-entry 4213 - 4210

SL: 4207

TP: 4215
TP: 4217
TP: 421",4213.0,,BUY,4213.0,4207.0,4215.0,3,-6.0,-6.0,sl,sl_full,,,,0.33,0.67,156.29,-35.83
2026-06-15T07:10:43+00:00,"Gold buy now 4312.5 - 4309

SL: 4305

TP: 4315
TP: 4317
TP: 4319
TP: o",4312.5,,BUY,4312.5,4305.0,4315.0,3,2.5,1.25,tp1,be,,,,0.33,0.6,56.79,-11.63
2026-06-16T08:57:04+00:00,"Gold buy now 4340.5 - 4337

SL: 4333

TP: 4343
TP: 4345
TP: 4347
TP: 4",4340.5,,BUY,4340.5,4333.0,4343.0,4,2.5,1.25,tp1,be,,,,0.33,0.73,41.84,-121.53
2026-06-16T11:04:13+00:00,"Gold buy now 4342 - 4339

SL: 4335

TP: 4344
TP: 4346
TP: 4348
TP: ope",4342.0,,BUY,4342.0,4335.0,4344.0,3,2.0,1.0,tp1,be,,,,0.29,0.57,40.34,-123.03
2026-06-18T09:23:40+00:00,"Gold buy now 4270.5 - 4267

SL: 4263

TP: 4273
TP: 4275
TP: 4277
TP: o",4270.5,,BUY,4270.5,4263.0,4273.0,3,2.5,1.25,tp1,be,,,,0.33,0.6,6.91,-148.81
2026-06-18T10:16:04+00:00,"Gold buy now 4270.5 - 4267

SL: 4263

TP: 4273
TP: 4275
TP: 4277
TP: o",4270.5,,BUY,4270.5,4263.0,4273.0,3,2.5,1.25,tp1,be,,,,0.33,0.6,6.91,-148.81
2026-06-19T08:43:23+00:00,"Gold sell now 4173.9 - 4177

SL: 4181

TP: 4170
TP: 4168
TP: 4166
TP: ",4173.9,,SELL,4173.9,4181.0,4170.0,3,3.9,1.95,tp1,be,,,,0.55,0.83,83.0,-47.06
2026-06-19T09:25:37+00:00,"Gold sell now 4167.3 - 4170.5

SL: 4175

TP: 4165
TP: 4163
TP: 4161
TP",4167.3,,SELL,4167.3,4175.0,4165.0,3,2.3,1.15,tp1,be,,,,0.3,0.56,76.4,-53.66
2026-06-22T06:39:47+00:00,"Gold buy now 4198.2 - 4195

SL: 4192

TP: 4200
TP: 4202
TP: 4204
TP. o",4198.2,,BUY,4198.2,4192.0,4200.0,3,-6.2,-6.2,sl,sl_full,,,,0.29,0.61,17.17,-147.82
2026-06-22T07:32:30+00:00,"Gold buy now 4199.3 - 4196

SL: 4193

TP: 4201
TP: 4203
TP: 4205
TP: o",4199.3,,BUY,4199.3,4193.0,4201.0,3,1.7,0.85,tp1,be,,,,0.27,0.59,16.07,-148.92
2026-06-22T08:02:57+00:00,"Gold sell now 4190.5 - 4194

SL: 4197

TP: 4188
TP: 4186
TP: 4184
TP: ",4190.5,,SELL,4190.5,4197.0,4188.0,4,2.5,1.25,tp1,be,,,,0.38,0.85,140.12,-24.87
2026-06-22T11:23:04+00:00,"Gold buy now 4210 - 4206

SL: 4201

TP: 4215
TP: 4217
TP: 4219
TP: ope",4210.0,,BUY,4210.0,4201.0,4215.0,3,5.0,2.5,tp1,be,,,,0.56,0.78,5.37,-159.62
2026-06-23T06:42:43+00:00,"Gold sell now 4115.2 - 4118

SL: 4121

TP: 4113
TP: 4111
TP: 4109
TP: ",4115.2,,SELL,4115.2,4121.0,4113.0,4,-5.8,-5.8,sl,sl_full,,,,0.38,0.9,156.24,-29.79
