at,plan_id,side,lot,entry,sl,tp,grade,risk_usd,dry_run,result_ok,ticket
2026-08-28T16:14:30.558050+00:00,xau-79896d48,SELL,0.01,4501.54,4589.56,4550.85,A,100.27,False,False,
2026-08-28T17:08:10.552342+00:00,xau-74cfd1a8,SELL,0.02,4479.66,4522.47,4473.24,A,100.27,False,True,98072921
2026-08-28T17:15:02.297144+00:00,xau-6406a5e2,SELL,0.03,4481.9,4510.65,4466.84,A,100.55,False,True,98084590
2026-08-29T04:15:01.598816+00:00,xau-c380d62a,SELL,0.11,4454.93,4463.5,4442.08,A,101.41,False,False,
2026-08-29T04:19:00.739636+00:00,xau-c36d28f7,SELL,0.11,4454.93,4463.5,4442.08,A,101.41,True,True,96058333
2026-08-29T04:19:28.118476+00:00,xau-c36d28f7,SELL,0.11,4454.93,4463.5,4442.08,A,101.41,False,False,96058333
2026-08-31T14:15:02.254582+00:00,xau-c278a8c5,SELL,0.07,4427.7,4441.61,4406.14,B,101.59,False,True,103493774
2026-08-31T14:30:01.651955+00:00,xau-7fae336d,SELL,0.06,4420.1,4435.03,4396.96,B,101.59,False,True,103501799
2026-09-01T03:15:01.522416+00:00,xau-18ede3c1,SELL,0.1,4439.96,4449.25,4425.56,B,100.44,False,True,103636278
2026-09-01T04:15:02.581482+00:00,xau-add920dc,SELL,0.14,4431.24,4438.3,4420.3,B,100.94,False,True,103640711
2026-09-01T05:30:01.984008+00:00,xau-5877006d,SELL,0.15,4425.29,4431.83,4415.15,B,101.06,False,True,103649120
2026-09-01T06:30:02.061341+00:00,xau-c64093bb,SELL,0.04,4428.97,4439.13,4413.22,B,49.47,False,True,103661982
2026-09-01T12:45:02.419571+00:00,xau-075bfdd3,SELL,0.02,4364.78,4376.77,4346.2,A,24.81,False,True,103775507
2026-09-02T00:00:01.955347+00:00,xau-0b51f2b9,SELL,0.08,4325.03,4331.22,4315.44,B,49.72,False,True,103941623
2026-09-02T01:00:02.194976+00:00,xau-35186442,SELL,0.03,4315.46,4331.93,4289.93,B,49.86,False,True,103951497
2026-09-02T01:45:01.892357+00:00,xau-e16486cb,SELL,0.03,4309.26,4325.78,4283.65,B,50.08,False,True,103958601
2026-09-02T02:15:02.157006+00:00,xau-b74ead7d,SELL,0.02,4296.33,4313.79,4269.27,B,50.17,False,True,103964980
2026-09-02T03:30:02.349965+00:00,xau-59e8bb50,SELL,0.04,4293.45,4304.04,4277.04,B,49.82,False,True,103976964
2026-09-03T03:00:02.148856+00:00,xau-3103d34c,BUY,0.11,4420.62,4411.84,4434.23,B,99.66,False,True,104278658
2026-09-03T04:00:01.904916+00:00,xau-384df59f,BUY,0.13,4431.81,4424.55,4443.06,B,101.06,False,True,104285338
2026-09-03T05:00:01.882804+00:00,xau-c43bee01,BUY,0.16,4437.52,4431.33,4447.11,A,102.48,False,True,104292973
2026-09-03T06:45:01.686795+00:00,xau-c2551da2,BUY,0.09,4425.9,4415.12,4442.61,B,100.4,False,True,104312573
2026-09-03T15:00:02.808848+00:00,xau-43f51c79,BUY,0.06,4486.32,4469.58,4512.27,B,102.07,False,True,104484332
