ticket,close_time,side,volume,price,profit,comment,journaled_at,position_id,commission,swap
96021722,1787342489,BUY,0.01,4627.36,9.9,,2026-08-29T18:26:02.162518+00:00,101091775,-0.03,
96021723,1787342492,BUY,0.01,4627.47,14.05,,2026-08-29T18:26:02.162544+00:00,101090561,-0.03,
96058333,1787352052,BUY,0.01,4619.58,-10.42,HERMES_CLOSE_DEV20,2026-08-29T18:26:02.162552+00:00,101101649,-0.03,
98072921,1787947867,SELL,0.02,4472.41,14.04,[tp 4473.24],2026-08-29T18:26:02.162560+00:00,103191931,-0.06,
98084590,1787949728,SELL,0.03,4467.04,43.32,[tp 4466.84],2026-08-29T18:26:02.162568+00:00,103194694,-0.09,
98200524,1788160542,SELL,0.06,4420.7,3.6,HermesPartial,2026-08-31T04:45:04.066862+00:00,103324106,-0.18,
98200669,1788160581,SELL,0.06,4420.08,7.32,[sl 4420.08],2026-08-31T04:45:04.066904+00:00,103324106,-0.18,
98203175,1788161403,SELL,0.06,4416.08,-1.56,HermesPartial,2026-08-31T04:45:04.066927+00:00,103326893,-0.18,
98203263,1788161444,SELL,0.04,4415.1,2.88,HermesPartial,2026-08-31T04:45:04.066945+00:00,103326893,-0.12,
98203591,1788161690,SELL,0.03,4416.35,-1.5899999999999999,[sl 4415.82],2026-08-31T04:45:04.066961+00:00,103326893,-0.09,
98367013,1788197403,SELL,0.04,4419.71,32.12,HermesPartial,2026-08-31T14:40:08.934089+00:00,103493774,-0.12,
98368015,1788197498,SELL,0.03,4425.89,5.55,[sl 4425.66],2026-08-31T14:40:08.934131+00:00,103493774,-0.09,
98371735,1788197890,SELL,0.06,4435.37,-94.38,[sl 4435.03],2026-08-31T14:40:08.934150+00:00,103501799,-0.18,
98499344,1788243591,SELL,0.05,4436.87,14.4,HermesPartial,2026-09-01T03:30:02.978942+00:00,103636278,-0.15,
98499696,1788243677,SELL,0.02,4434.37,10.76,HermesPartial,2026-09-01T03:30:02.978982+00:00,103636278,-0.06,
98501207,1788245106,SELL,0.03,4439.66,0.27,[sl 4439.75],2026-09-01T04:00:02.183463+00:00,103636278,-0.09,
98503445,1788246908,SELL,0.07,4430.59,1.75,HermesPartial,2026-09-01T04:30:02.477626+00:00,103640711,-0.21,
98504641,1788247806,SELL,0.04,4429.64,4.8,HermesPartial,2026-09-01T04:45:02.626931+00:00,103640711,-0.12,
98505189,1788248355,SELL,0.03,4430.7,0.42,[sl 4430.84],2026-09-01T04:45:02.626969+00:00,103640711,-0.09,
98511859,1788251455,SELL,0.15,4431.62,-105.15,[sl 4431.83],2026-09-01T05:45:02.470249+00:00,103649120,-0.45,
98535085,1788258605,SELL,0.03,4425.41,10.2,HermesPartial,2026-09-01T07:45:02.785133+00:00,103661982,-0.09,
98535655,1788258631,SELL,0.01,4423.16,5.65,HermesPartial,2026-09-01T07:45:02.785170+00:00,103661982,-0.03,
98638516,1788278144,SELL,0.01,4361.78,2.96,HermesPartial,2026-09-01T13:00:02.621416+00:00,103775507,-0.03,
98639660,1788278341,SELL,0.01,4357.9,6.84,HermesPartial,2026-09-01T13:00:02.621455+00:00,103775507,-0.03,
98799579,1788318005,SELL,0.08,4323.44,14.08,HermesClose,2026-09-02T00:15:02.624394+00:00,103941623,-0.24,
98809821,1788321727,SELL,0.03,4308.6,21.81,HermesClose,2026-09-02T01:15:02.869103+00:00,103951497,-0.09,
98816451,1788324434,SELL,0.03,4305.6,9.93,HermesClose,2026-09-02T02:00:03.302054+00:00,103958601,-0.09,
98825359,1788327481,SELL,0.02,4313.81,-35.16,[sl 4313.79],2026-09-02T02:45:03.127858+00:00,103964980,-0.06,
98834383,1788330604,SELL,0.04,4293.09,1.04,HermesClose,2026-09-02T03:45:02.746479+00:00,103976964,-0.12,
99122845,1788415938,BUY,0.11,4427.15,70.84,HermesClose,2026-09-03T03:15:03.252821+00:00,104278658,-0.33,
99133464,1788420910,BUY,0.13,4437.32,71.63,HermesClose,2026-09-03T04:45:02.900631+00:00,104285338,-0.39,
99136854,1788422817,BUY,0.16,4431.27,-102.88,[sl 4431.33],2026-09-03T05:15:02.134756+00:00,104292973,-0.48,
99170108,1788433405,BUY,0.09,4435.18,84.24,HermesClose,2026-09-03T08:15:02.808002+00:00,104312573,-0.27,
99301256,1788458672,BUY,0.06,4499.87,82.74,HermesClose,2026-09-03T15:15:02.447465+00:00,104484332,-0.18,
99694222,1788769678,SELL,0.17,4408.4,-99.28,[sl 4408.46],2026-09-07T05:30:03.161134+00:00,104905967,-0.51,0.0
