timestamp,symbol,ticket,event,details
2026-08-06T12:25:10.380111,DJIUSD,97415440,opened,"{""direction"": ""BUY"", ""score"": 91, ""tier"": ""A""}"
2026-08-06T15:15:40.424924,DJIUSD,97415440,closed,"{""pnl"": 0.0, ""comment"": ""closed""}"
2026-08-06T19:47:16.660858,DAXEUR,97581406,opened,"{""direction"": ""SELL"", ""score"": 76, ""tier"": ""C""}"
2026-08-06T19:49:02.840373,BTCUSD,97582290,opened,"{""direction"": ""BUY"", ""score"": 84, ""tier"": ""B""}"
2026-08-06T22:25:22.846843,BTCUSD,97582290,closed,"{""pnl"": 0.0, ""comment"": ""closed""}"
2026-08-06T22:43:08.133042,DAXEUR,97581406,closed,"{""pnl"": 0.0, ""comment"": ""closed""}"
2026-08-07T08:43:53.006341,XAUUSD,97683990,opened,"{""direction"": ""BUY"", ""score"": 88, ""tier"": ""B""}"
2026-08-07T09:30:37.956635,XAUUSD,97683990,breakeven,"{""new_sl"": 4269.43}"
2026-08-07T10:30:23.769194,XAUUSD,97683990,closed,"{""pnl"": 0.0, ""comment"": ""closed""}"
2026-08-07T10:30:24.151451,XAUUSD,97706912,opened,"{""direction"": ""BUY"", ""score"": 95, ""tier"": ""A""}"
2026-08-07T10:58:29.317637,XAUUSD,97706912,closed,"{""pnl"": 0.0, ""comment"": ""closed""}"
2026-08-07T10:58:29.686724,XAUUSD,97712303,opened,"{""direction"": ""BUY"", ""score"": 88, ""tier"": ""B""}"
2026-08-07T11:40:30.512274,XAUUSD,97712303,breakeven,"{""new_sl"": 4286.24}"
2026-08-07T12:04:40.578037,XAUUSD,97712303,closed,"{""pnl"": 0.0, ""comment"": ""closed""}"
2026-08-07T12:04:40.946047,XAUUSD,97728216,opened,"{""direction"": ""BUY"", ""score"": 97, ""tier"": ""A""}"
2026-08-07T12:08:30.755460,XAUUSD,97728216,closed,"{""pnl"": 0.0, ""comment"": ""closed""}"
2026-08-07T12:15:31.343623,XAUUSD,97731780,opened,"{""direction"": ""BUY"", ""score"": 93, ""tier"": ""A""}"
